Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27,Arena,Attend.,Attend./G,Year,G,MP,FG%,Dist.,Unnamed: 6,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,Unnamed: 20,2P.2,3P.2,Unnamed: 23,%FGA,Md.,Unnamed: 26,%FGA.1,Md..1,Unnamed: 29,%3PA,3P%,Unnamed: 32,Att.,Md..2
25.0,San Antonio Spurs*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,82.0,19855.0,0.426,11.8,,0.836,0.279,0.168,0.182,0.208,0.164,,0.443,0.582,0.358,0.386,0.374,0.338,,0.493,0.821,,0.037,221.0,,0.228,799.0,,0.223,0.356,,,
26.0,Seattle SuperSonics*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,82.0,19830.0,0.449,12.4,,0.792,0.274,0.161,0.128,0.23,0.208,,0.477,0.645,0.359,0.396,0.403,0.344,,0.57,0.869,,0.054,331.0,,0.197,766.0,,0.267,0.351,,,
27.0,Toronto Raptors*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,82.0,19755.0,0.441,11.9,,0.83,0.288,0.14,0.18,0.222,0.17,,0.461,0.572,0.411,0.411,0.388,0.346,,0.539,0.828,,0.041,239.0,,0.214,703.0,,0.229,0.39,,,
28.0,Utah Jazz*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,82.0,19830.0,0.447,12.6,,0.805,0.27,0.151,0.128,0.256,0.195,,0.462,0.623,0.358,0.375,0.398,0.383,,0.519,0.828,,0.049,287.0,,0.199,686.0,,0.234,0.433,,,
29.0,Washington Wizards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,82.0,19730.0,0.452,12.7,,0.818,0.234,0.17,0.163,0.251,0.182,,0.474,0.685,0.344,0.398,0.413,0.354,,0.577,0.848,,0.045,283.0,,0.183,751.0,,0.254,0.396,,,
,League Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,82.0,19816.0,0.445,12.0,,0.819,0.287,0.148,0.153,0.23,0.181,,0.465,0.605,0.382,0.388,0.397,0.354,,0.564,0.856,,0.048,291.0,,0.214,783.0,,0.235,0.384,,,
1.0,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,67.0,16280.0,0.478,13.2,,0.639,0.322,0.152,0.09,0.075,0.361,,0.542,0.673,0.389,0.442,0.413,0.363,,0.482,0.826,,0.069,369.0,,0.303,1017.0,,0.192,0.373,,,
2.0,Boston Celtics*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,72.0,17430.0,0.441,14.4,,0.601,0.25,0.186,0.087,0.078,0.399,,0.508,0.663,0.399,0.402,0.391,0.34,,0.479,0.818,,0.055,305.0,,0.275,895.0,,0.198,0.388,,,
3.0,Brooklyn Nets*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,72.0,17480.0,0.446,14.2,,0.625,0.241,0.173,0.117,0.094,0.375,,0.503,0.65,0.404,0.433,0.396,0.35,,0.451,0.777,,0.049,282.0,,0.252,901.0,,0.203,0.358,,,
4.0,Chicago Bulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,65.0,15675.0,0.479,13.1,,0.617,0.344,0.147,0.071,0.055,0.383,,0.557,0.687,0.369,0.435,0.401,0.353,,0.564,0.847,,0.072,350.0,,0.31,957.0,,0.249,0.412,,,
5.0,Charlotte Hornets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,65.0,15750.0,0.476,13.7,,0.599,0.316,0.15,0.073,0.06,0.401,,0.558,0.681,0.408,0.47,0.398,0.352,,0.55,0.853,,0.069,351.0,,0.295,955.0,,0.25,0.38,,,
6.0,Cleveland Cavaliers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,65.0,15725.0,0.491,13.3,,0.631,0.33,0.148,0.079,0.075,0.369,,0.558,0.689,0.421,0.409,0.406,0.375,,0.514,0.803,,0.068,360.0,,0.281,989.0,,0.232,0.414,,,
7.0,Dallas Mavericks*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,75.0,18175.0,0.458,13.8,,0.619,0.274,0.177,0.092,0.076,0.381,,0.523,0.67,0.394,0.416,0.423,0.351,,0.48,0.79,,0.059,360.0,,0.268,989.0,,0.184,0.388,,,
8.0,Denver Nuggets*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,73.0,17745.0,0.463,13.7,,0.608,0.294,0.163,0.087,0.064,0.392,,0.53,0.678,0.397,0.402,0.365,0.358,,0.55,0.829,,0.069,391.0,,0.277,959.0,,0.238,0.403,,,
9.0,Detroit Pistons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,66.0,15965.0,0.48,13.1,,0.661,0.293,0.193,0.094,0.081,0.339,,0.541,0.685,0.415,0.469,0.409,0.361,,0.507,0.821,,0.067,342.0,,0.288,931.0,,0.216,0.415,,,
10.0,Golden State Warriors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,65.0,15725.0,0.476,14.2,,0.607,0.262,0.186,0.089,0.071,0.393,,0.533,0.693,0.4,0.421,0.428,0.389,,0.519,0.83,,0.066,338.0,,0.281,888.0,,0.211,0.452,,,
11.0,Houston Rockets*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,72.0,17380.0,0.462,13.7,,0.617,0.296,0.164,0.089,0.067,0.383,,0.532,0.69,0.386,0.377,0.402,0.349,,0.516,0.798,,0.054,333.0,,0.294,1108.0,,0.259,0.345,,,
12.0,Indiana Pacers*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,73.0,17620.0,0.446,13.8,,0.62,0.3,0.163,0.082,0.075,0.38,,0.511,0.625,0.418,0.403,0.376,0.341,,0.488,0.821,,0.058,337.0,,0.289,961.0,,0.203,0.349,,,
13.0,Los Angeles Clippers*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,72.0,17380.0,0.438,14.5,,0.605,0.26,0.158,0.1,0.087,0.395,,0.499,0.66,0.388,0.394,0.339,0.345,,0.513,0.795,,0.051,298.0,,0.249,864.0,,0.19,0.368,,,
