Rk,Team,G,MP,FG%,Dist.,Unnamed: 6,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,Unnamed: 20,2P.2,3P.2,Unnamed: 23,%FGA,Md.,Unnamed: 26,%FGA.1,Md..1,Unnamed: 29,%3PA,3P%,Year,Unnamed: 32,Att.,Md..2
1.0,Atlanta Hawks,82,19905,0.437,11.7,,0.82,0.302,0.149,0.159,0.209,0.18,,0.454,0.57,0.369,0.365,0.413,0.359,,0.543,0.843,,0.048,298,,0.235,819.0,,0.242,0.372,2003,,,
2.0,Boston Celtics*,82,19830,0.435,13.4,,0.783,0.25,0.121,0.145,0.267,0.217,,0.464,0.625,0.337,0.378,0.416,0.331,,0.603,0.892,,0.04,243,,0.195,696.0,,0.265,0.334,2003,,,
3.0,Chicago Bulls,82,19930,0.439,12.1,,0.804,0.318,0.113,0.139,0.234,0.196,,0.467,0.597,0.362,0.402,0.379,0.323,,0.616,0.865,,0.051,323,,0.248,901.0,,0.256,0.349,2003,,,
4.0,Cleveland Cavaliers,82,19830,0.453,12.0,,0.824,0.3,0.135,0.146,0.242,0.176,,0.473,0.612,0.363,0.413,0.399,0.358,,0.603,0.881,,0.057,354,,0.217,801.0,,0.309,0.408,2003,,,
5.0,Dallas Mavericks*,82,19780,0.438,12.1,,0.79,0.295,0.143,0.142,0.21,0.21,,0.463,0.596,0.374,0.398,0.382,0.34,,0.561,0.855,,0.051,306,,0.226,795.0,,0.285,0.381,2003,,,
6.0,Denver Nuggets,82,19730,0.443,12.3,,0.814,0.277,0.157,0.112,0.267,0.186,,0.46,0.617,0.379,0.372,0.38,0.37,,0.61,0.895,,0.052,289,,0.198,656.0,,0.29,0.38,2003,,,
7.0,Detroit Pistons*,82,19905,0.438,11.5,,0.866,0.299,0.138,0.167,0.262,0.134,,0.452,0.568,0.393,0.405,0.381,0.344,,0.52,0.779,,0.046,252,,0.234,749.0,,0.211,0.424,2003,,,
8.0,Golden State Warriors,82,19755,0.452,11.3,,0.836,0.279,0.2,0.141,0.216,0.164,,0.467,0.646,0.334,0.425,0.388,0.372,,0.558,0.847,,0.05,326,,0.206,882.0,,0.285,0.403,2003,,,
9.0,Houston Rockets,82,19930,0.433,12.5,,0.833,0.263,0.143,0.141,0.286,0.167,,0.45,0.557,0.4,0.417,0.393,0.347,,0.54,0.855,,0.046,263,,0.201,668.0,,0.236,0.365,2003,,,
10.0,Indiana Pacers*,82,19905,0.428,12.0,,0.821,0.282,0.162,0.146,0.23,0.179,,0.447,0.592,0.372,0.366,0.372,0.34,,0.55,0.853,,0.043,265,,0.221,760.0,,0.248,0.343,2003,,,
11.0,Los Angeles Clippers,82,19755,0.447,12.0,,0.817,0.276,0.166,0.154,0.22,0.183,,0.466,0.598,0.39,0.418,0.39,0.365,,0.559,0.877,,0.042,254,,0.214,786.0,,0.248,0.422,2003,,,
12.0,Los Angeles Lakers*,82,19930,0.443,12.3,,0.818,0.27,0.15,0.166,0.232,0.182,,0.456,0.607,0.401,0.369,0.381,0.38,,0.546,0.819,,0.044,282,,0.205,752.0,,0.217,0.365,2003,,,
13.0,Memphis Grizzlies,82,19930,0.46,11.2,,0.83,0.324,0.171,0.113,0.222,0.17,,0.48,0.597,0.395,0.392,0.418,0.363,,0.582,0.847,,0.061,391,,0.244,889.0,,0.274,0.378,2003,,,
14.0,Miami Heat,82,19830,0.437,12.2,,0.815,0.271,0.152,0.162,0.23,0.185,,0.456,0.586,0.41,0.381,0.387,0.353,,0.492,0.857,,0.042,235,,0.205,667.0,,0.215,0.385,2003,,,
15.0,Milwaukee Bucks*,82,19905,0.458,11.9,,0.808,0.297,0.137,0.176,0.198,0.192,,0.478,0.591,0.452,0.394,0.402,0.375,,0.579,0.852,,0.041,253,,0.227,808.0,,0.282,0.368,2003,,,
