year,team,total_salary
2005,LA Clippers,7097508.14132104
2005,Los Angeles Lakers,21115174.8079877
2005,Memphis Grizzlies,16152909.06298
2005,Miami Heat,30569318.7403994
2005,Milwaukee Bucks,19896630.2611367
2005,Minnesota Timberwolves,11612289.093702
2005,New Jersey Nets,3826523.50230415
2005,New Orleans Hornets,3214608.60215054
2005,New York Knicks,63784787.7112135
2005,Orlando Magic,19052751.4592934
2005,Philadelphia 76ers,22070043.9324117
2005,Phoenix Suns,9410687.40399385
2005,Portland Trail Blazers,45755613.671275
2005,Sacramento Kings,27964276.0368664
2005,San Antonio Spurs,11636366.359447
2005,Seattle SuperSonics,18796710.2918587
2005,Toronto Raptors,24205286.328725
2005,Utah Jazz,4725603.84024578
2005,Washington Wizards,4935252.22734255
2006,Atlanta Hawks,21731027.1302083
2006,Boston Celtics,20376547.3325893
2006,Brooklyn Nets,2560727.32142857
2006,Charlotte Bobcats,19503161.9333333
2006,Chicago Bulls,20436893.2738095
2006,Cleveland Cavaliers,28342886.2876488
2006,Dallas Mavericks,43022608.375
2006,Denver Nuggets,26861828.780506
2006,Detroit Pistons,29530956.3566964
2006,Golden State Warriors,32403879.9845238
2006,Houston Rockets,31640619.1723214
2006,Indiana Pacers,37320733.5839286
2006,LA Clippers,39904641.25625
2006,Los Angeles Lakers,32160162.5967262
2006,Memphis Grizzlies,39235604.309375
2006,Miami Heat,33856838.4416667
2006,Milwaukee Bucks,31875263.193006
2006,Minnesota Timberwolves,41154914.1522321
2006,NO/Oklahoma City
 Hornets,17571328.9209821
2006,New Jersey Nets,37888919.563244
2006,New York Knicks,36333491.0525298
2006,Orlando Magic,52327805.1663691
2006,Philadelphia 76ers,40526901.6363095
2006,Phoenix Suns,35709529.096131
2006,Portland Trail Blazers,30366005.9407738
2006,Sacramento Kings,41176468.5903274
2006,San Antonio Spurs,35444688.4955357
2006,Seattle SuperSonics,33627639.9203869
2006,Toronto Raptors,38289818.003125
2006,Utah Jazz,31862320.1761905
2006,Washington Wizards,28476717.456994
2007,Atlanta Hawks,24943124.2188133
2007,Boston Celtics,29488067.6163531
2007,Brooklyn Nets,3333686.98234443
2007,Charlotte Bobcats,25417032.9254703
2007,Chicago Bulls,31643393.1344428
2007,Cleveland Cavaliers,34851114.2031838
2007,Dallas Mavericks,38235254.2736614
2007,Denver Nuggets,25872013.6327062
2007,Detroit Pistons,31818158.4535456
2007,Golden State Warriors,24566054.7024602
2007,Houston Rockets,34808414.4467438
2007,Indiana Pacers,45137623.2350217
2007,LA Clippers,36461454.7502171
2007,Los Angeles Lakers,34441229.4047757
2007,Memphis Grizzlies,27714990.0921852
2007,Miami Heat,34720043.9483358
2007,Milwaukee Bucks,31873655.5780029
2007,Minnesota Timberwolves,37460352.0908828
2007,NO/Oklahoma City Hornets,29428954.9629522
2007,New Jersey Nets,34729442.6638205
2007,New Orleans Pelicans,682629.568740955
2007,New York Knicks,44987230.5091172
2007,Oklahoma City Thunder,367477.71447178
2007,Orlando Magic,33769803.8263386
2007,Philadelphia 76ers,34301293.7733719
2007,Phoenix Suns,36052475.6321274
2007,Portland Trail Blazers,34476762.8342981
2007,Sacramento Kings,35709261.5193922
2007,San Antonio Spurs,34315067.0852388
2007,Seattle SuperSonics,31749510.9836469
2007,Toronto Raptors,24896090.8069464
2007,Utah Jazz,33698891.3257598
2007,Washington Wizards,34884014.1334298
2007,null Unknown,456677.543849493
2008,Atlanta Hawks,20304437.4005574
2008,Boston Celtics,39731536.7862053
2008,Brooklyn Nets,1880425.91732466
2008,Charlotte Bobcats,30553979.0623781
2008,Chicago Bulls,22296617.616117
2008,Cleveland Cavaliers,47234315.8064561
2008,Dallas Mavericks,31172089.4442638
2008,Denver Nuggets,44321329.3734789
2008,Detroit Pistons,31263455.2378077
2008,Golden State Warriors,29365768.2890386
2008,Houston Rockets,39299857.5829076
2008,Indiana Pacers,35475559.2189503
2008,LA Clippers,32636562.4851835
2008,Los Angeles Lakers,29904536.4165815
2008,Madrid Real Madrid,805036.970134696
2008,Memphis Grizzlies,40522344.8450999
2008,Miami Heat,28614865.2119833
2008,Milwaukee Bucks,33607136.5982815
2008,Minnesota Timberwolves,23717034.3553182
2008,New Jersey Nets,39570199.9713888
2008,New Orleans Hornets,28108140.5009289
2008,New York Knicks,45944261.0588946
2008,Orlando Magic,33677103.3579656
2008,Philadelphia 76ers,22502784.2109615
2008,Phoenix Suns,48925099.9709707
2008,Portland Trail Blazers,31215335.5114724
2008,Sacramento Kings,40550841.0218764
2008,San Antonio Spurs,32694890.8467255
2008,Seattle SuperSonics,39718253.947608
2008,Toronto Raptors,33256451.014863
2008,Utah Jazz,31904901.0128193
2008,Washington Wizards,37468113.3888992
2008,null Unknown,1365294.69029261
2009,Atlanta Hawks,36889067.5114685
2009,Boston Celtics,53910811.9324475
2009,Charlotte Bobcats,47523099.1812587
2009,Chicago Bulls,20841209.6163636
2009,Cleveland Cavaliers,48742048.0274126
2009,Dallas Mavericks,48030999.4351049
2009,Denver Nuggets,27673859.1481119
2009,Detroit Pistons,43915997.0910489
2009,Golden State Warriors,29587017.2072727
2009,Houston Rockets,35314585.5468531
2009,Indiana Pacers,32998873.607972
2009,LA Clippers,29646308.4618182
2009,Los Angeles Lakers,40949726.5788811
2009,Memphis Grizzlies,23475349.1169231
2009,Miami Heat,25946743.7748252
2009,Milwaukee Bucks,35405075.6895105
2009,Minnesota Timberwolves,34549823.5372028
2009,New Jersey Nets,30191661.8179021
2009,New Orleans Hornets,32410638.4896504
2009,New Orleans Pelicans,2382766.8241958
2009,New York Knicks,53044299.8420979
2009,Oklahoma City Thunder,37106720.2584615
2009,Orlando Magic,40827114.6812587
2009,Philadelphia 76ers,35244403.8218182
2009,Phoenix Suns,33808671.0923077
2009,Portland Trail Blazers,28622942.1569231
2009,Sacramento Kings,46208989.1815384
2009,San Antonio Spurs,38297477.2867133
2009,Toronto Raptors,49768007.5560839
2009,Utah Jazz,39219084.4212587
2009,Washington Wizards,41026029.9160839
2009,null Unknown,1891134.90573427
2010,Atlanta Hawks,37638104.9452545
2010,Boston Celtics,42080351.5404402
2010,Brooklyn Nets,3733603.85144429
2010,Charlotte Bobcats,44429160.1458047
2010,Charlotte Hornets,387253.598349381
2010,Chicago Bulls,31077962.6257221
2010,Cleveland Cavaliers,37017328.6242091
2010,Dallas Mavericks,33644355.6722146
2010,Denver Nuggets,38552443.4940853
2010,Detroit Pistons,33020742.8639615
2010,Golden State Warriors,24892814.537414
2010,Houston Rockets,26164944.8691884
2010,Indiana Pacers,31516808.3189821
2010,LA Clippers,30134185.3993122
2010,Los Angeles Lakers,48419838.9240715
2010,Memphis Grizzlies,28248381.0075653
2010,Miami Heat,42062359.2508941
2010,Milwaukee Bucks,35829550.9206327
2010,Minnesota Timberwolves,24002239.5883081
2010,New Jersey Nets,29894911.3491059
2010,New Orleans Hornets,35596518.2991747
2010,New York Knicks,48495155.1792297
2010,Oklahoma City Thunder,23489724.6324622
2010,Orlando Magic,43152547.9118294
2010,Philadelphia 76ers,38019372.1568088
2010,Phoenix Suns,33834154.738652
2010,Portland Trail Blazers,30031864.6711142
2010,Sacramento Kings,31014530.7997249
2010,San Antonio Spurs,43791035.7133425
2010,Toronto Raptors,35768586.4283356
2010,Utah Jazz,38575228.4689133
2010,Washington Wizards,49818415.9011004
2010,null Unknown,311456.707427785
2011,Atlanta Hawks,34102824.6793686
2011,Boston Celtics,36027760.4250334
2011,Brooklyn Nets,3620715.87372165
2011,Charlotte Bobcats,38425168.4846598
2011,Charlotte Hornets,461513.273943975
2011,Chicago Bulls,36396366.6396176
2011,Cleveland Cavaliers,22255987.1691863
2011,Dallas Mavericks,48674730.7568697
2011,Denver Nuggets,27239772.0196087
2011,Detroit Pistons,32902949.5264562
2011,Golden State Warriors,30915039.3325478
2011,Houston Rockets,30376155.4400623
2011,Indiana Pacers,30387812.1053357
2011,LA Clippers,40312195.3351267
2011,Los Angeles Lakers,46030919.2131169
2011,Madrid Real Madrid,375544.730102268
2011,Memphis Grizzlies,38297988.0348155
2011,Miami Heat,40857453.21743
2011,Milwaukee Bucks,36279253.3097821
2011,Minnesota Timberwolves,25425905.5580703
2011,New Jersey Nets,23813018.9151623
2011,New Orleans Hornets,27260348.3949311
2011,New Orleans Pelicans,809659.384081814
2011,New York Knicks,44035775.7468208
2011,Oklahoma City Thunder,35753355.0382837
2011,Orlando Magic,23350256.2392619
2011,Philadelphia 76ers,35221987.445976
2011,Phoenix Suns,49599378.4675411
2011,Portland Trail Blazers,29504274.3086705
2011,Sacramento Kings,24847905.6951089
2011,San Antonio Spurs,38851820.8942197
2011,Toronto Raptors,35299236.6940418
2011,Utah Jazz,47468832.4666074
2011,Washington Wizards,42242020.577101
2011,null Unknown,1803293.97118719
2012,Atlanta Hawks,39279854.9099739
2012,Bilbao Basket Bilbao Basket,2768902.32595819
2012,Boston Celtics,40885825.1124564
2012,Brooklyn Nets,4113129.0684669
2012,Charlotte Bobcats,24596019.281838
2012,Charlotte Hornets,604432.28466899
2012,Chicago Bulls,39394751.7116289
2012,Cleveland Cavaliers,23828679.7426829
2012,Dallas Mavericks,38087281.2159408
2012,Denver Nuggets,27924151.7461673
2012,Detroit Pistons,29405840.6477352
2012,Fenerbahce Ulker Fenerbahce Ulker,1341306.04377178
2012,Golden State Warriors,26003719.6463415
2012,Houston Rockets,26637887.4114983
2012,Indiana Pacers,26303799.3377613
2012,LA Clippers,41101350.9001307
2012,Los Angeles Lakers,47636148.3291376
2012,Madrid Real Madrid,367857.18554007
2012,Memphis Grizzlies,38485166.6012195
2012,Miami Heat,45329770.3927265
2012,Milwaukee Bucks,34724733.759277
2012,Minnesota Timberwolves,39309873.6188153
2012,New Jersey Nets,31139343.5327091
2012,New Orleans Hornets,33431238.8594948
2012,New Orleans Pelicans,3938906.66641986
2012,New York Knicks,39201991.0897213
2012,Oklahoma City Thunder,33244730.2412456
2012,Orlando Magic,36562288.8470383
2012,Philadelphia 76ers,48243203.0985627
2012,Phoenix Suns,32281059.0052265
2012,Portland Trail Blazers,37237841.9192509
2012,Sacramento Kings,28450159.7481272
2012,San Antonio Spurs,43987677.6035279
2012,Toronto Raptors,31770428.2548345
2012,Utah Jazz,32064898.3264808
2012,Washington Wizards,34147824.0774826
2012,null Unknown,2487880.85566202
2013,Atlanta Hawks,34112561.2360944
2013,Boston Celtics,37001581.1701288
2013,Brooklyn Nets,49983232.0102146
2013,Charlotte Bobcats,25250153.3533906
2013,Charlotte Hornets,3847807.16806867
2013,Chicago Bulls,47512165.0788412
2013,Cleveland Cavaliers,24917067.0128755
2013,Dallas Mavericks,34684602.96103
2013,Denver Nuggets,34293960.4530901
2013,Detroit Pistons,28145927.6916309
2013,Fenerbahce Ulker Fenerbahce Ulker,1696909.92360515
2013,Golden State Warriors,39224328.5000858
2013,Houston Rockets,20493352.1316309
2013,Indiana Pacers,41653544.9027897
2013,LA Clippers,41127302.3896996
2013,Los Angeles Lakers,42540847.7795279
2013,Madrid Real Madrid,4346624.49643777
2013,Memphis Grizzlies,48781301.4839485
2013,Miami Heat,51093645.33103
2013,Milwaukee Bucks,28301389.2482833
2013,Minnesota Timberwolves,35263885.907382
2013,New Orleans Hornets,22743358.764206
2013,New Orleans Pelicans,7208314.24648069
2013,New York Knicks,45851848.1564807
2013,Oklahoma City Thunder,46526335.1241631
2013,Orlando Magic,37065400.0022318
2013,Philadelphia 76ers,38915109.9853648
2013,Phoenix Suns,29195740.8838197
2013,Portland Trail Blazers,28495735.1450215
2013,Sacramento Kings,37210646.273176
2013,San Antonio Spurs,41048142.1703433
2013,Toronto Raptors,33176173.9927468
2013,Utah Jazz,34309923.036824
2013,Washington Wizards,36438617.6755365
2013,null Unknown,2684699.94515021
2014,Atlanta Hawks,29734086.048289
2014,Boston Celtics,30535706.6429658
2014,Brooklyn Nets,48619850.9249683
2014,Charlotte Bobcats,24847842.8821293
2014,Chicago Bulls,30492711.217744
2014,Cleveland Cavaliers,28812523.5528517
2014,Dallas Mavericks,32599658.5798479
2014,Denver Nuggets,24715087.3901141
2014,Detroit Pistons,29992986.9732573
2014,Golden State Warriors,32280632.8638783
2014,Houston Rockets,29673237.8429658
2014,Indiana Pacers,27187691.8619772
2014,LA Clippers,36159727.2728771
2014,Los Angeles Lakers,38209915.9252218
2014,Memphis Grizzlies,36096538.2674271
2014,Miami Heat,40390822.1053232
