Rk,team,G,MP,FG.,Dist.,X2P,X0.3,X3.10,X10.16,X16.3P,X3P,X2P.1,X0.3.1,X3.10.1,X10.16.1,X16.3P.1,X3P.1,X2P.2,X3P.2,X.FGA,Md.,X.FGA.1,Md..1,X.3PA,X3P.,Att.,Md..2,year
3,brooklyn nets,82,19755,0.453,11.6,0.782,0.284,0.211,0.106,0.181,0.218,0.481,0.608,0.425,0.404,0.392,0.352,0.53,0.844,0.032,202,0.266,1038,0.309,0.391,13,0,2015
4,chicago bulls,82,19905,0.441,12.2,0.756,0.291,0.162,0.117,0.185,0.244,0.464,0.573,0.391,0.4,0.398,0.371,0.515,0.883,0.039,255,0.262,966,0.224,0.397,16,1,2015
5,charlotte hornets,82,19855,0.439,13.7,0.652,0.274,0.129,0.093,0.156,0.348,0.479,0.599,0.394,0.383,0.397,0.362,0.482,0.84,0.029,177,0.248,962,0.171,0.409,9,1,2015
6,cleveland cavaliers,82,19855,0.46,13.3,0.648,0.28,0.149,0.095,0.125,0.352,0.514,0.658,0.391,0.378,0.438,0.362,0.481,0.861,0.057,358,0.227,920,0.26,0.391,5,1,2015
7,dallas mavericks,82,20005,0.444,13.7,0.661,0.243,0.149,0.111,0.159,0.339,0.495,0.656,0.369,0.431,0.412,0.344,0.5,0.847,0.033,214,0.214,879,0.213,0.39,17,0,2015
8,denver nuggets,82,19830,0.442,11.8,0.723,0.342,0.158,0.08,0.142,0.277,0.482,0.586,0.389,0.373,0.397,0.338,0.543,0.811,0.055,356,0.287,1053,0.21,0.34,18,2,2015
9,detroit pistons,82,19880,0.439,12.3,0.697,0.293,0.184,0.104,0.116,0.303,0.48,0.611,0.369,0.41,0.388,0.345,0.422,0.803,0.037,232,0.258,1032,0.254,0.374,30,1,2015
10,golden state warriors,82,19880,0.487,13.5,0.638,0.301,0.125,0.093,0.119,0.362,0.528,0.66,0.362,0.422,0.452,0.416,0.626,0.792,0.062,402,0.242,1032,0.229,0.413,22,2,2015
11,houston rockets,82,19830,0.452,12.5,0.63,0.321,0.164,0.064,0.082,0.37,0.514,0.651,0.356,0.4,0.379,0.347,0.508,0.793,0.07,442,0.266,1022,0.307,0.36,21,0,2015
12,indiana pacers,82,19880,0.45,13.1,0.73,0.27,0.133,0.108,0.219,0.27,0.486,0.635,0.435,0.39,0.381,0.351,0.487,0.804,0.038,245,0.24,981,0.273,0.398,13,0,2015
13,los angeles clippers,82,19830,0.465,14.2,0.676,0.239,0.129,0.093,0.215,0.324,0.513,0.674,0.438,0.425,0.417,0.364,0.526,0.799,0.057,346,0.195,787,0.226,0.405,14,0,2015
14,los angeles lakers,82,19730,0.414,13,0.71,0.255,0.163,0.125,0.168,0.29,0.454,0.59,0.403,0.369,0.358,0.317,0.45,0.734,0.049,307,0.207,738,0.192,0.33,20,0,2015
15,memphis grizzlies,82,19830,0.44,11.4,0.778,0.313,0.19,0.103,0.172,0.222,0.471,0.583,0.389,0.416,0.392,0.331,0.502,0.859,0.037,218,0.285,1053,0.268,0.324,21,2,2015
16,miami heat,82,19830,0.47,11.6,0.779,0.303,0.166,0.128,0.182,0.221,0.508,0.663,0.422,0.407,0.401,0.336,0.47,0.928,0.054,341,0.249,1000,0.372,0.358,15,1,2015
17,milwaukee bucks,82,19830,0.467,10.1,0.811,0.365,0.19,0.106,0.149,0.189,0.495,0.617,0.402,0.397,0.387,0.345,0.555,0.895,0.071,446,0.29,1066,0.282,0.353,14,0,2015
18,minnesota timberwolves,82,19880,0.464,11.9,0.798,0.298,0.16,0.101,0.239,0.202,0.496,0.661,0.41,0.372,0.4,0.338,0.578,0.855,0.061,376,0.241,943,0.208,0.386,8,0,2015
19,new orleans pelicans,82,19780,0.448,12.5,0.723,0.304,0.144,0.101,0.174,0.277,0.482,0.597,0.38,0.385,0.419,0.36,0.51,0.808,0.059,369,0.255,948,0.229,0.332,12,1,2015
20,new york knicks,82,19805,0.439,13,0.744,0.245,0.154,0.143,0.201,0.256,0.471,0.585,0.425,0.407,0.412,0.346,0.477,0.869,0.031,200,0.217,798,0.231,0.405,13,0,2015
21,oklahoma city thunder,82,19830,0.476,11.9,0.725,0.33,0.126,0.122,0.146,0.275,0.524,0.626,0.438,0.478,0.41,0.349,0.508,0.758,0.07,447,0.262,1010,0.291,0.357,6,0,2015
22,orlando magic,82,19905,0.455,12.5,0.745,0.296,0.15,0.093,0.206,0.255,0.492,0.609,0.422,0.409,0.409,0.35,0.528,0.873,0.045,284,0.253,1009,0.241,0.37,21,0,2015
23,philadelphia 76ers,82,19805,0.431,12.4,0.673,0.311,0.166,0.096,0.099,0.327,0.476,0.628,0.341,0.361,0.338,0.339,0.501,0.861,0.061,377,0.253,983,0.234,0.366,14,1,2015
24,phoenix suns,82,19705,0.435,12.6,0.698,0.3,0.151,0.092,0.155,0.302,0.472,0.614,0.349,0.396,0.362,0.348,0.47,0.831,0.056,351,0.25,948,0.226,0.368,12,0,2015
25,portland trail blazers,82,19805,0.45,13.3,0.668,0.282,0.137,0.092,0.157,0.332,0.49,0.607,0.361,0.436,0.423,0.37,0.469,0.771,0.052,328,0.232,872,0.238,0.388,11,0,2015
26,sacramento kings,82,19805,0.464,11.6,0.74,0.297,0.223,0.066,0.155,0.26,0.5,0.65,0.404,0.411,0.389,0.359,0.55,0.856,0.059,374,0.276,1158,0.23,0.418,15,0,2015
