Rk,team,G,MP,FG.,Dist.,X2P,X0.3,X3.10,X10.16,X16.3P,X3P,X2P.1,X0.3.1,X3.10.1,X10.16.1,X16.3P.1,X3P.1,X2P.2,X3P.2,X.FGA,Md.,X.FGA.1,Md..1,X.3PA,X3P.,Att.,Md..2,year
2,boston celtics,82,19880,0.443,12.8,0.72,0.28,0.144,0.103,0.193,0.28,0.488,0.621,0.384,0.407,0.416,0.327,0.565,0.877,0.041,267,0.228,958,0.204,0.374,16,0,2014
3,brooklyn nets,82,19930,0.451,11.9,0.76,0.269,0.213,0.115,0.163,0.24,0.489,0.615,0.444,0.408,0.397,0.331,0.488,0.887,0.04,243,0.218,860,0.285,0.389,24,0,2014
4,chicago bulls,82,19880,0.442,12.2,0.731,0.312,0.156,0.1,0.163,0.269,0.474,0.586,0.392,0.372,0.401,0.353,0.525,0.842,0.038,237,0.261,950,0.218,0.388,18,2,2014
5,charlotte hornets,82,19905,0.42,12.8,0.774,0.263,0.153,0.124,0.234,0.226,0.45,0.572,0.382,0.389,0.39,0.318,0.521,0.791,0.032,202,0.22,800,0.176,0.389,16,0,2014
6,cleveland cavaliers,82,19780,0.458,12.8,0.666,0.295,0.155,0.092,0.124,0.334,0.504,0.647,0.36,0.387,0.432,0.367,0.509,0.803,0.064,393,0.215,848,0.289,0.365,4,1,2014
7,dallas mavericks,82,19880,0.463,12.8,0.704,0.288,0.14,0.094,0.182,0.296,0.509,0.659,0.382,0.42,0.417,0.352,0.482,0.857,0.057,364,0.22,933,0.229,0.393,10,1,2014
8,denver nuggets,82,19880,0.433,12.3,0.716,0.299,0.176,0.09,0.152,0.284,0.476,0.622,0.351,0.396,0.379,0.325,0.506,0.839,0.057,358,0.224,901,0.236,0.344,22,1,2014
9,detroit pistons,82,19830,0.432,11.8,0.71,0.324,0.192,0.065,0.128,0.29,0.468,0.6,0.329,0.382,0.386,0.344,0.512,0.815,0.043,273,0.247,981,0.24,0.396,20,0,2014
10,golden state warriors,82,19730,0.478,13.1,0.689,0.288,0.143,0.104,0.154,0.311,0.514,0.673,0.372,0.442,0.397,0.398,0.602,0.821,0.062,396,0.206,939,0.221,0.459,24,0,2014
11,houston rockets,82,19805,0.444,12.7,0.608,0.31,0.183,0.047,0.068,0.392,0.506,0.635,0.392,0.351,0.328,0.348,0.496,0.833,0.057,361,0.252,976,0.328,0.394,17,0,2014
12,indiana pacers,82,19855,0.439,13,0.745,0.245,0.172,0.105,0.222,0.255,0.469,0.604,0.399,0.378,0.418,0.352,0.516,0.858,0.027,155,0.203,797,0.266,0.383,17,0,2014
13,los angeles clippers,82,19730,0.473,14.1,0.678,0.242,0.119,0.097,0.219,0.322,0.519,0.68,0.408,0.437,0.437,0.376,0.563,0.82,0.063,386,0.166,705,0.265,0.396,11,0,2014
14,los angeles lakers,82,19930,0.435,12.5,0.78,0.265,0.15,0.132,0.233,0.22,0.461,0.651,0.348,0.374,0.366,0.344,0.527,0.726,0.043,276,0.205,859,0.183,0.396,7,0,2014
15,memphis grizzlies,82,19905,0.458,11,0.816,0.308,0.199,0.129,0.179,0.184,0.485,0.621,0.405,0.42,0.386,0.339,0.528,0.865,0.029,173,0.263,1074,0.262,0.383,22,2,2014
16,miami heat,82,19730,0.456,12.4,0.738,0.295,0.142,0.118,0.184,0.262,0.499,0.629,0.438,0.424,0.385,0.335,0.481,0.905,0.047,277,0.238,860,0.319,0.374,17,1,2014
17,milwaukee bucks,82,19930,0.459,11.4,0.777,0.338,0.136,0.11,0.193,0.223,0.486,0.608,0.352,0.438,0.394,0.363,0.571,0.888,0.052,320,0.259,977,0.316,0.403,4,0,2014
18,minnesota timberwolves,82,19805,0.438,11.6,0.821,0.287,0.176,0.122,0.235,0.179,0.461,0.622,0.361,0.41,0.365,0.332,0.557,0.825,0.054,332,0.217,826,0.219,0.366,12,0,2014
19,new orleans pelicans,82,19780,0.457,11.4,0.767,0.348,0.152,0.098,0.169,0.233,0.484,0.591,0.383,0.406,0.398,0.37,0.513,0.875,0.05,313,0.286,1052,0.239,0.412,17,0,2014
20,new york knicks,82,19855,0.428,13.3,0.76,0.241,0.147,0.126,0.247,0.24,0.454,0.587,0.363,0.393,0.41,0.347,0.55,0.836,0.035,213,0.198,715,0.187,0.351,16,1,2014
21,oklahoma city thunder,82,19830,0.447,11.9,0.738,0.304,0.156,0.113,0.165,0.262,0.486,0.615,0.385,0.436,0.377,0.339,0.461,0.797,0.051,328,0.233,933,0.247,0.373,12,0,2014
22,orlando magic,82,19755,0.453,11.5,0.765,0.317,0.182,0.094,0.172,0.235,0.486,0.611,0.386,0.383,0.415,0.347,0.48,0.868,0.052,315,0.241,929,0.26,0.373,11,0,2014
23,philadelphia 76ers,82,19805,0.408,12.2,0.681,0.321,0.174,0.069,0.118,0.319,0.449,0.593,0.316,0.326,0.322,0.32,0.52,0.873,0.051,318,0.257,938,0.181,0.342,18,0,2014
24,phoenix suns,82,19880,0.452,12.6,0.709,0.294,0.138,0.124,0.153,0.291,0.497,0.643,0.374,0.429,0.383,0.341,0.443,0.801,0.045,291,0.237,1009,0.289,0.361,19,1,2014
25,portland trail blazers,82,19855,0.45,13.7,0.684,0.248,0.134,0.112,0.19,0.316,0.491,0.652,0.411,0.402,0.393,0.362,0.495,0.776,0.034,227,0.193,834,0.249,0.391,14,0,2014
26,sacramento kings,82,19855,0.455,11,0.796,0.303,0.219,0.094,0.181,0.204,0.484,0.651,0.356,0.416,0.395,0.341,0.503,0.837,0.066,391,0.239,937,0.299,0.367,12,0,2014
27,san antonio spurs,82,19955,0.468,12.1,0.731,0.278,0.202,0.103,0.148,0.269,0.505,0.634,0.462,0.404,0.395,0.367,0.544,0.919,0.028,172,0.239,999,0.288,0.423,10,0,2014
28,toronto raptors,82,19855,0.455,12.7,0.698,0.254,0.195,0.104,0.145,0.302,0.499,0.644,0.446,0.393,0.395,0.352,0.476,0.781,0.042,259,0.193,781,0.264,0.408,10,0,2014
29,utah jazz,82,19705,0.447,12.2,0.726,0.299,0.17,0.096,0.161,0.274,0.486,0.669,0.333,0.395,0.363,0.343,0.473,0.9,0.066,401,0.214,830,0.275,0.376,18,1,2014
30,washington wizards,82,19955,0.462,12.1,0.797,0.287,0.142,0.138,0.23,0.203,0.488,0.658,0.385,0.409,0.389,0.36,0.578,0.889,0.05,327,0.22,879,0.28,0.37,12,0,2014
NA,league average,82,19839,0.449,12.4,0.732,0.29,0.164,0.103,0.175,0.268,0.485,0.627,0.384,0.403,0.394,0.35,0.52,0.843,0.047,293,0.228,903,0.254,0.387,14.4,0.4,2014
1,atlanta hawks,82,19730,0.462,13.5,0.778,0.233,0.175,0.097,0.274,0.222,0.494,0.649,0.434,0.39,0.436,0.352,0.55,0.882,0.045,263,0.182,692,0.349,0.38,13,1,2010
2,boston celtics,82,19780,0.486,12.1,0.82,0.313,0.14,0.113,0.254,0.18,0.513,0.674,0.376,0.445,0.42,0.365,0.597,0.882,0.043,256,0.265,1041,0.26,0.467,8,0,2010
3,charlotte bobcats,82,19805,0.451,12,0.811,0.334,0.145,0.097,0.235,0.189,0.48,0.61,0.354,0.395,0.41,0.327,0.56,0.86,0.045,242,0.275,995,0.187,0.373,18,0,2010
4,chicago bulls,82,19830,0.462,12.5,0.785,0.304,0.151,0.102,0.229,0.215,0.489,0.638,0.389,0.404,0.397,0.361,0.548,0.863,0.052,314,0.257,986,0.275,0.373,17,0,2010
5,cleveland cavaliers,82,19755,0.434,12.3,0.776,0.296,0.179,0.097,0.203,0.224,0.461,0.61,0.355,0.333,0.398,0.342,0.542,0.847,0.051,312,0.239,874,0.234,0.37,7,0,2010
6,dallas mavericks,82,19705,0.475,13.6,0.726,0.24,0.162,0.125,0.199,0.274,0.516,0.684,0.407,0.423,0.461,0.365,0.565,0.905,0.053,321,0.181,723,0.293,0.392,18,1,2010
7,denver nuggets,82,19705,0.476,12.3,0.742,0.349,0.133,0.074,0.186,0.258,0.506,0.633,0.371,0.378,0.414,0.388,0.497,0.875,0.059,355,0.29,1122,0.286,0.4,17,1,2010
8,detroit pistons,82,19880,0.46,12,0.811,0.307,0.15,0.132,0.222,0.189,0.479,0.634,0.376,0.376,0.396,0.376,0.507,0.892,0.043,246,0.249,987,0.365,0.397,18,1,2010
9,golden state warriors,82,19830,0.461,13,0.752,0.276,0.169,0.093,0.214,0.248,0.484,0.656,0.37,0.349,0.412,0.392,0.489,0.866,0.048,317,0.212,925,0.295,0.432,19,1,2010
10,houston rockets,82,19880,0.454,12.9,0.736,0.263,0.203,0.092,0.177,0.264,0.486,0.644,0.394,0.405,0.398,0.367,0.553,0.851,0.026,165,0.247,1063,0.227,0.4,15,0,2010
11,indiana pacers,82,19780,0.442,13.2,0.756,0.245,0.182,0.116,0.213,0.244,0.471,0.627,0.402,0.397,0.391,0.354,0.45,0.892,0.047,288,0.202,806,0.203,0.394,11,0,2010
12,los angeles clippers,82,19855,0.457,12.1,0.77,0.307,0.199,0.081,0.183,0.23,0.493,0.664,0.393,0.369,0.368,0.338,0.548,0.864,0.085,502,0.227,883,0.254,0.319,18,0,2010
13,los angeles lakers,82,19830,0.463,12.7,0.78,0.256,0.206,0.118,0.199,0.22,0.494,0.666,0.428,0.441,0.373,0.352,0.527,0.819,0.046,287,0.206,878,0.286,0.411,22,1,2010
14,memphis grizzlies,82,19880,0.471,10.8,0.864,0.309,0.244,0.107,0.204,0.136,0.492,0.66,0.407,0.398,0.388,0.334,0.488,0.906,0.042,265,0.255,1071,0.267,0.389,25,0,2010
15,miami heat,82,19780,0.481,13.7,0.765,0.242,0.155,0.102,0.267,0.235,0.515,0.695,0.458,0.403,0.428,0.37,0.479,0.819,0.053,308,0.2,792,0.327,0.435,11,1,2010
16,milwaukee bucks,82,19830,0.43,12.8,0.784,0.268,0.165,0.123,0.227,0.216,0.454,0.585,0.372,0.381,0.4,0.342,0.48,0.882,0.026,160,0.22,797,0.299,0.395,11,0,2010
17,minnesota timberwolves,82,19780,0.441,12.7,0.777,0.241,0.233,0.099,0.204,0.223,0.459,0.611,0.387,0.391,0.395,0.376,0.476,0.779,0.034,207,0.195,780,0.204,0.458,27,1,2010
18,new jersey nets,82,20005,0.44,12.8,0.799,0.236,0.213,0.123,0.227,0.201,0.464,0.606,0.422,0.384,0.398,0.343,0.55,0.808,0.052,307,0.189,677,0.272,0.353,18,1,2010
19,new orleans hornets,82,19830,0.459,12.8,0.808,0.223,0.213,0.136,0.237,0.192,0.482,0.657,0.401,0.402,0.436,0.36,0.523,0.863,0.036,210,0.192,747,0.322,0.37,13,2,2010
20,new york knicks,82,19780,0.457,13.5,0.697,0.265,0.166,0.086,0.179,0.303,0.496,0.665,0.377,0.382,0.411,0.368,0.475,0.821,0.054,349,0.206,860,0.27,0.424,12,0,2010
21,oklahoma city thunder,82,20005,0.464,12.5,0.788,0.284,0.159,0.126,0.218,0.212,0.495,0.686,0.354,0.404,0.403,0.347,0.488,0.848,0.072,443,0.208,825,0.187,0.354,11,0,2010
22,orlando magic,82,19830,0.461,14.1,0.672,0.253,0.158,0.096,0.164,0.328,0.507,0.671,0.405,0.411,0.411,0.366,0.454,0.835,0.065,388,0.181,692,0.243,0.367,18,1,2010
23,philadelphia 76ers,82,19930,0.461,12.4,0.816,0.258,0.175,0.17,0.213,0.184,0.485,0.672,0.379,0.412,0.405,0.355,0.557,0.831,0.051,323,0.199,812,0.244,0.403,15,0,2010
24,phoenix suns,82,20005,0.47,13.4,0.729,0.253,0.167,0.116,0.193,0.271,0.505,0.701,0.385,0.429,0.396,0.377,0.531,0.869,0.049,299,0.195,887,0.263,0.41,15,0,2010
25,portland trail blazers,82,19805,0.447,12.6,0.772,0.283,0.168,0.115,0.206,0.228,0.477,0.645,0.387,0.378,0.376,0.345,0.515,0.934,0.046,270,0.22,891,0.317,0.391,23,0,2010
26,sacramento kings,82,19855,0.449,12,0.817,0.265,0.219,0.112,0.221,0.183,0.475,0.68,0.36,0.401,0.38,0.335,0.48,0.879,0.047,299,0.219,960,0.286,0.403,24,1,2010
27,san antonio spurs,82,19780,0.475,12.7,0.739,0.264,0.201,0.106,0.167,0.261,0.503,0.662,0.43,0.407,0.4,0.397,0.507,0.858,0.029,166,0.234,988,0.367,0.421,7,0,2010
28,toronto raptors,82,19780,0.465,11.8,0.838,0.325,0.157,0.112,0.245,0.162,0.494,0.627,0.414,0.439,0.394,0.316,0.534,0.872,0.053,325,0.262,1012,0.234,0.337,12,0,2010
29,utah jazz,82,19880,0.465,12.1,0.809,0.296,0.181,0.111,0.221,0.191,0.493,0.652,0.398,0.396,0.406,0.346,0.588,0.862,0.055,330,0.229,910,0.184,0.368,16,1,2010
30,washington wizards,82,19930,0.443,12.2,0.828,0.281,0.171,0.129,0.247,0.172,0.465,0.648,0.353,0.382,0.38,0.332,0.468,0.89,0.06,389,0.212,827,0.292,0.348,11,0,2010
NA,league average,82,19836,0.459,12.6,0.778,0.276,0.178,0.11,0.214,0.222,0.487,0.65,0.392,0.398,0.403,0.358,0.518,0.86,0.049,297,0.222,883,0.27,0.394,15.7,0.5,2010
1,atlanta hawks,82,19855,0.454,11.5,0.835,0.339,0.14,0.096,0.261,0.165,0.473,0.602,0.414,0.342,0.386,0.356,0.572,0.836,0.062,370,0.259,926,0.25,0.387,17,1,2007
2,boston celtics,82,19755,0.475,12.7,0.751,0.32,0.118,0.102,0.211,0.249,0.506,0.615,0.405,0.405,0.447,0.381,0.549,0.874,0.045,267,0.27,967,0.253,0.41,15,0,2007
3,charlotte bobcats,82,19880,0.452,12,0.78,0.338,0.114,0.098,0.229,0.22,0.476,0.586,0.412,0.358,0.395,0.367,0.526,0.888,0.053,308,0.274,954,0.351,0.372,6,0,2007
4,chicago bulls,82,19805,0.435,12.6,0.81,0.306,0.102,0.12,0.282,0.19,0.452,0.537,0.392,0.384,0.411,0.363,0.556,0.873,0.046,284,0.239,800,0.232,0.396,11,0,2007
5,cleveland cavaliers,82,19855,0.439,12.7,0.769,0.321,0.105,0.106,0.238,0.231,0.463,0.602,0.366,0.357,0.365,0.358,0.498,0.821,0.041,251,0.252,944,0.345,0.383,9,0,2007
6,dallas mavericks,82,19730,0.464,13,0.785,0.264,0.108,0.17,0.243,0.215,0.495,0.611,0.398,0.438,0.453,0.352,0.503,0.903,0.039,239,0.209,759,0.279,0.371,19,0,2007
7,denver nuggets,82,19855,0.47,11.9,0.772,0.362,0.102,0.1,0.208,0.228,0.504,0.622,0.4,0.392,0.404,0.355,0.551,0.907,0.076,488,0.259,1023,0.241,0.403,32,0,2007
8,detroit pistons,82,19730,0.458,13.5,0.797,0.265,0.085,0.153,0.295,0.203,0.481,0.613,0.392,0.405,0.428,0.366,0.566,0.842,0.047,278,0.199,738,0.259,0.366,14,0,2007
9,golden state warriors,82,19780,0.459,12.7,0.705,0.345,0.121,0.068,0.171,0.295,0.506,0.634,0.378,0.378,0.39,0.348,0.459,0.815,0.047,319,0.281,1236,0.245,0.39,21,0,2007
10,houston rockets,82,19730,0.448,12.7,0.745,0.315,0.127,0.096,0.206,0.255,0.485,0.593,0.41,0.404,0.403,0.342,0.522,0.846,0.04,243,0.26,955,0.204,0.375,12,0,2007
11,indiana pacers,82,19755,0.444,14,0.711,0.246,0.138,0.111,0.216,0.289,0.472,0.616,0.423,0.38,0.386,0.374,0.496,0.927,0.03,193,0.223,921,0.188,0.398,10,0,2007
12,los angeles clippers,82,19805,0.438,12.9,0.833,0.261,0.128,0.153,0.291,0.167,0.46,0.592,0.428,0.387,0.395,0.324,0.571,0.917,0.034,202,0.212,747,0.151,0.362,16,2,2007
13,los angeles lakers,82,19780,0.476,12.6,0.743,0.328,0.109,0.093,0.213,0.257,0.51,0.632,0.427,0.389,0.417,0.378,0.554,0.863,0.069,439,0.248,953,0.28,0.422,13,0,2007
14,memphis grizzlies,82,19805,0.454,12.4,0.736,0.324,0.142,0.093,0.178,0.264,0.492,0.61,0.424,0.362,0.399,0.349,0.42,0.887,0.054,336,0.252,938,0.197,0.389,29,0,2007
15,miami heat,82,19830,0.443,13.4,0.783,0.268,0.115,0.107,0.294,0.217,0.467,0.614,0.391,0.37,0.397,0.358,0.534,0.829,0.051,284,0.2,699,0.221,0.403,11,0,2007
16,milwaukee bucks,82,19855,0.449,11.6,0.805,0.33,0.149,0.117,0.21,0.195,0.474,0.561,0.411,0.381,0.433,0.344,0.535,0.847,0.047,288,0.248,865,0.26,0.411,11,0,2007
17,minnesota timberwolves,82,19730,0.451,11.6,0.815,0.306,0.181,0.122,0.206,0.185,0.474,0.589,0.43,0.379,0.399,0.35,0.474,0.862,0.035,210,0.253,942,0.191,0.358,27,0,2007
18,new jersey nets,82,19830,0.443,12.4,0.778,0.347,0.085,0.09,0.256,0.222,0.47,0.563,0.365,0.402,0.403,0.348,0.632,0.873,0.068,384,0.26,824,0.259,0.424,23,0,2007
19,new orleans hornets,82,19805,0.466,12.8,0.761,0.284,0.137,0.113,0.227,0.239,0.49,0.617,0.427,0.4,0.413,0.389,0.484,0.887,0.057,361,0.204,759,0.289,0.439,7,1,2007
20,new york knicks,82,19880,0.439,11.5,0.785,0.353,0.137,0.101,0.194,0.215,0.467,0.554,0.406,0.365,0.406,0.337,0.461,0.792,0.044,266,0.284,975,0.249,0.362,21,1,2007
21,orlando magic,82,19780,0.474,12.8,0.678,0.325,0.126,0.096,0.132,0.322,0.516,0.635,0.414,0.405,0.401,0.386,0.446,0.873,0.071,423,0.235,858,0.334,0.413,18,0,2007
22,philadelphia 76ers,82,19755,0.46,10.9,0.857,0.359,0.116,0.154,0.227,0.143,0.483,0.614,0.402,0.396,0.378,0.317,0.516,0.831,0.074,459,0.273,961,0.261,0.367,23,1,2007
23,phoenix suns,82,19780,0.5,12.7,0.74,0.31,0.116,0.102,0.211,0.26,0.538,0.671,0.44,0.439,0.444,0.393,0.6,0.818,0.066,422,0.233,961,0.322,0.401,5,0,2007
24,portland trail blazers,82,19905,0.448,14.1,0.782,0.214,0.137,0.121,0.311,0.218,0.468,0.603,0.43,0.407,0.416,0.377,0.516,0.92,0.048,276,0.153,531,0.379,0.409,29,1,2007
25,sacramento kings,82,19830,0.464,12,0.792,0.33,0.124,0.098,0.239,0.208,0.488,0.599,0.391,0.397,0.423,0.373,0.451,0.833,0.044,273,0.27,991,0.267,0.389,8,0,2007
26,san antonio spurs,82,19730,0.457,13.2,0.749,0.248,0.157,0.116,0.227,0.251,0.487,0.649,0.401,0.402,0.413,0.369,0.498,0.928,0.017,94,0.225,923,0.414,0.401,11,0,2007
27,seattle supersonics,82,19830,0.444,11.6,0.866,0.287,0.159,0.144,0.277,0.134,0.462,0.594,0.39,0.377,0.408,0.333,0.527,0.85,0.057,363,0.209,774,0.243,0.377,5,0,2007
28,toronto raptors,82,19830,0.468,13.6,0.783,0.272,0.085,0.111,0.314,0.217,0.489,0.603,0.443,0.426,0.425,0.392,0.549,0.944,0.053,317,0.202,733,0.311,0.412,19,3,2007
29,utah jazz,82,19705,0.497,11.2,0.834,0.375,0.099,0.1,0.26,0.166,0.522,0.641,0.425,0.416,0.429,0.372,0.629,0.882,0.057,341,0.298,1167,0.195,0.404,19,0,2007
30,washington wizards,82,19905,0.446,13,0.759,0.285,0.145,0.098,0.231,0.241,0.475,0.633,0.384,0.353,0.388,0.356,0.474,0.805,0.043,283,0.225,849,0.181,0.38,7,0,2007
NA,league average,82,19801,0.457,12.5,0.778,0.308,0.124,0.111,0.235,0.222,0.484,0.607,0.408,0.391,0.409,0.362,0.523,0.867,0.051,309,0.24,889,0.264,0.395,15.6,0.3,2007
1,atlanta hawks,67,16280,0.449,14.1,0.602,0.291,0.155,0.097,0.059,0.398,0.525,0.658,0.414,0.394,0.376,0.333,0.525,0.743,0.086,448,0.268,829,0.201,0.342,13,1,2019
2,boston celtics,72,17430,0.461,13.9,0.614,0.276,0.173,0.094,0.071,0.386,0.522,0.662,0.387,0.437,0.416,0.364,0.491,0.707,0.053,302,0.307,1039,0.181,0.396,22,0,2019
3,brooklyn nets,72,17480,0.448,13.8,0.577,0.315,0.15,0.07,0.042,0.423,0.524,0.651,0.358,0.381,0.413,0.343,0.518,0.789,0.068,383,0.318,1061,0.213,0.369,13,0,2019
4,chicago bulls,65,15675,0.447,13.3,0.604,0.34,0.152,0.057,0.055,0.396,0.511,0.627,0.362,0.375,0.354,0.348,0.487,0.812,0.072,372,0.305,900,0.225,0.383,13,0,2019
5,charlotte hornets,65,15750,0.434,13.5,0.601,0.303,0.192,0.062,0.044,0.399,0.489,0.627,0.357,0.321,0.352,0.352,0.56,0.803,0.061,307,0.299,828,0.201,0.397,14,0,2019
6,cleveland cavaliers,65,15725,0.458,13.2,0.638,0.297,0.183,0.101,0.057,0.362,0.519,0.64,0.407,0.443,0.385,0.351,0.472,0.835,0.057,295,0.267,833,0.188,0.396,7,0,2019
7,dallas mavericks,75,18175,0.461,15.2,0.543,0.245,0.162,0.082,0.053,0.457,0.541,0.696,0.407,0.413,0.431,0.367,0.483,0.783,0.054,325,0.236,927,0.204,0.408,20,0,2019
8,denver nuggets,73,17745,0.473,13.3,0.656,0.278,0.18,0.105,0.092,0.344,0.533,0.687,0.402,0.417,0.456,0.359,0.56,0.853,0.056,326,0.27,1003,0.208,0.401,19,1,2019
9,detroit pistons,66,15965,0.459,13.2,0.619,0.282,0.214,0.072,0.05,0.381,0.515,0.66,0.4,0.369,0.401,0.367,0.499,0.871,0.061,314,0.304,891,0.284,0.422,13,1,2019
10,golden state warriors,65,15725,0.438,14.4,0.645,0.244,0.166,0.108,0.128,0.355,0.495,0.666,0.382,0.416,0.384,0.334,0.597,0.841,0.068,343,0.252,733,0.182,0.405,11,0,2019
11,houston rockets,72,17380,0.451,15.2,0.499,0.297,0.126,0.04,0.036,0.501,0.557,0.672,0.379,0.403,0.402,0.345,0.43,0.692,0.05,297,0.293,1075,0.245,0.378,10,0,2019
12,indiana pacers,73,17620,0.476,13.3,0.683,0.298,0.151,0.119,0.116,0.317,0.529,0.651,0.428,0.456,0.42,0.363,0.533,0.867,0.037,216,0.302,1130,0.232,0.389,10,0,2019
13,los angeles clippers,72,17380,0.466,13.8,0.625,0.272,0.167,0.104,0.081,0.375,0.522,0.669,0.408,0.419,0.4,0.371,0.465,0.818,0.067,392,0.243,834,0.25,0.401,11,0,2019
14,los angeles lakers,71,17090,0.48,13.4,0.642,0.315,0.147,0.084,0.097,0.358,0.552,0.723,0.401,0.401,0.355,0.349,0.518,0.831,0.091,528,0.277,1025,0.26,0.402,10,0,2019
15,memphis grizzlies,73,17570,0.468,13,0.654,0.281,0.21,0.103,0.06,0.346,0.532,0.667,0.443,0.427,0.397,0.347,0.547,0.88,0.057,337,0.265,989,0.202,0.381,12,0,2019
16,miami heat,73,17745,0.468,14.7,0.581,0.255,0.159,0.09,0.077,0.419,0.532,0.693,0.418,0.398,0.386,0.379,0.558,0.849,0.073,401,0.231,811,0.231,0.381,19,0,2019
17,milwaukee bucks,73,17595,0.476,14.6,0.572,0.284,0.141,0.082,0.064,0.428,0.567,0.717,0.374,0.458,0.467,0.355,0.498,0.811,0.057,355,0.274,1066,0.204,0.392,9,0,2019
18,minnesota timberwolves,64,15560,0.441,14,0.567,0.308,0.164,0.055,0.04,0.433,0.521,0.64,0.384,0.373,0.372,0.336,0.49,0.791,0.043,229,0.325,1020,0.173,0.339,11,1,2019
19,new orleans pelicans,72,17430,0.465,13.8,0.597,0.309,0.144,0.079,0.065,0.403,0.528,0.666,0.376,0.394,0.378,0.37,0.516,0.874,0.06,359,0.302,1106,0.233,0.401,20,0,2019
20,new york knicks,66,15965,0.447,12.9,0.682,0.313,0.159,0.091,0.119,0.318,0.499,0.64,0.364,0.401,0.382,0.337,0.451,0.872,0.072,370,0.286,867,0.201,0.374,7,0,2019
21,oklahoma city thunder,72,17430,0.468,13.8,0.647,0.26,0.173,0.128,0.087,0.353,0.529,0.68,0.386,0.455,0.474,0.355,0.457,0.778,0.061,342,0.272,864,0.195,0.357,22,1,2019
22,orlando magic,73,17570,0.444,14.2,0.636,0.252,0.169,0.121,0.095,0.364,0.502,0.664,0.406,0.392,0.381,0.343,0.511,0.859,0.052,292,0.26,909,0.142,0.395,25,1,2019
23,philadelphia 76ers,73,17595,0.468,13.8,0.64,0.266,0.173,0.114,0.087,0.36,0.524,0.688,0.41,0.408,0.399,0.368,0.516,0.913,0.056,329,0.254,917,0.193,0.409,12,0,2019
24,phoenix suns,73,17595,0.468,13.4,0.639,0.296,0.146,0.116,0.081,0.361,0.529,0.659,0.404,0.444,0.405,0.358,0.574,0.889,0.054,306,0.271,979,0.24,0.374,8,0,2019
25,portland trail blazers,74,17835,0.463,14.3,0.626,0.272,0.139,0.117,0.097,0.374,0.514,0.634,0.399,0.428,0.446,0.377,0.409,0.669,0.047,288,0.243,888,0.185,0.418,12,0,2019
26,sacramento kings,72,17455,0.462,14.2,0.605,0.253,0.187,0.09,0.075,0.395,0.527,0.689,0.4,0.416,0.426,0.364,0.471,0.828,0.052,302,0.258,930,0.211,0.392,8,1,2019
27,san antonio spurs,71,17215,0.472,14.1,0.682,0.233,0.158,0.144,0.147,0.318,0.516,0.666,0.435,0.458,0.422,0.376,0.481,0.888,0.035,197,0.241,878,0.207,0.4,15,0,2019
28,toronto raptors,72,17380,0.458,14,0.579,0.311,0.155,0.056,0.058,0.421,0.519,0.645,0.381,0.367,0.351,0.374,0.53,0.811,0.054,315,0.305,1025,0.217,0.382,12,0,2019
29,utah jazz,72,17355,0.471,14.1,0.586,0.256,0.196,0.087,0.048,0.414,0.535,0.692,0.407,0.42,0.428,0.38,0.452,0.775,0.064,345,0.268,889,0.249,0.418,21,1,2019
30,washington wizards,72,17355,0.457,14.2,0.642,0.259,0.16,0.111,0.112,0.358,0.506,0.688,0.363,0.41,0.387,0.368,0.509,0.832,0.047,276,0.285,1029,0.167,0.388,18,1,2019
NA,league average,71,17061,0.46,13.9,0.616,0.282,0.165,0.093,0.077,0.384,0.524,0.667,0.396,0.416,0.404,0.358,0.504,0.815,0.059,330,0.276,943,0.211,0.39,13.9,0.3,2019
1,atlanta hawks,82,19830,0.458,13.4,0.684,0.263,0.174,0.102,0.145,0.316,0.502,0.643,0.409,0.419,0.413,0.363,0.598,0.87,0.026,154,0.242,989,0.268,0.386,13,1,2013
2,boston celtics,82,19730,0.435,13.3,0.749,0.273,0.148,0.109,0.219,0.251,0.47,0.608,0.348,0.424,0.402,0.333,0.51,0.852,0.039,239,0.217,835,0.242,0.39,15,0,2013
3,brooklyn nets,82,19880,0.459,13.6,0.699,0.256,0.171,0.112,0.16,0.301,0.497,0.642,0.413,0.427,0.405,0.369,0.491,0.88,0.052,309,0.202,743,0.243,0.391,20,0,2013
4,charlotte bobcats,82,19905,0.442,12.6,0.781,0.29,0.151,0.122,0.218,0.219,0.468,0.607,0.414,0.409,0.352,0.351,0.539,0.874,0.04,253,0.245,910,0.209,0.371,17,0,2013
5,chicago bulls,82,19930,0.432,12.7,0.778,0.297,0.148,0.112,0.222,0.222,0.456,0.597,0.334,0.373,0.392,0.348,0.611,0.854,0.035,210,0.254,915,0.22,0.383,20,3,2013
6,cleveland cavaliers,82,19930,0.437,12.8,0.764,0.269,0.17,0.128,0.197,0.236,0.461,0.583,0.388,0.394,0.402,0.356,0.513,0.82,0.045,278,0.212,791,0.252,0.373,19,0,2013
7,dallas mavericks,82,19830,0.474,13.2,0.726,0.262,0.156,0.135,0.173,0.274,0.508,0.655,0.418,0.426,0.428,0.384,0.52,0.861,0.047,308,0.206,856,0.199,0.412,15,0,2013
8,denver nuggets,82,19755,0.447,12.5,0.722,0.309,0.182,0.08,0.15,0.278,0.481,0.634,0.373,0.351,0.366,0.358,0.518,0.813,0.066,425,0.233,933,0.24,0.416,20,0,2013
